Date,Open*,High,Low,Close**,Volume,Market Cap
6-Nov-20,$454.72 ,$465.68 ,$428.46 ,$435.71 ,"$18,873,289,788 ","$49,380,744,878 "
5-Nov-20,$414.07 ,$456.20 ,$412.98 ,$454.72 ,"$16,738,305,610 ","$51,528,636,308 "
4-Nov-20,$402.14 ,$417.53 ,$397.25 ,$414.07 ,"$15,440,711,038 ","$46,916,321,971 "
3-Nov-20,$387.60 ,$407.67 ,$377.83 ,$402.14 ,"$15,126,077,675 ","$45,559,668,259 "
2-Nov-20,$383.16 ,$389.52 ,$371.31 ,$387.60 ,"$12,588,494,762 ","$43,907,159,817 "
1-Nov-20,$396.36 ,$403.24 ,$381.02 ,$383.16 ,"$13,997,574,252 ","$43,398,380,101 "
31-Oct-20,$386.59 ,$397.12 ,$385.17 ,$396.36 ,"$10,475,146,018 ","$44,888,307,221 "
30-Oct-20,$382.82 ,$393.01 ,$381.30 ,$386.59 ,"$11,276,963,426 ","$43,776,829,150 "
29-Oct-20,$386.73 ,$391.46 ,$375.09 ,$382.82 ,"$13,688,056,970 ","$43,344,676,043 "
28-Oct-20,$388.65 ,$393.23 ,$381.29 ,$386.73 ,"$12,920,477,749 ","$43,782,246,356 "
27-Oct-20,$404.00 ,$408.96 ,$381.15 ,$388.65 ,"$15,276,441,134 ","$43,994,384,280 "
26-Oct-20,$393.89 ,$409.77 ,$390.61 ,$404.00 ,"$13,940,434,102 ","$45,726,046,137 "
25-Oct-20,$406.22 ,$411.28 ,$383.78 ,$393.89 ,"$15,155,684,229 ","$44,576,504,574 "
24-Oct-20,$412.46 ,$417.16 ,$405.35 ,$406.22 ,"$10,890,207,469 ","$45,966,378,925 "
23-Oct-20,$409.77 ,$416.60 ,$407.85 ,$412.46 ,"$12,201,739,194 ","$46,666,915,712 "
22-Oct-20,$414.05 ,$418.96 ,$403.08 ,$409.77 ,"$14,256,222,052 ","$46,356,841,440 "
21-Oct-20,$391.49 ,$420.14 ,$391.28 ,$413.77 ,"$15,772,846,485 ","$46,795,599,921 "
20-Oct-20,$369.06 ,$400.63 ,$368.73 ,$392.19 ,"$20,241,324,322 ","$44,354,670,582 "
19-Oct-20,$379.72 ,$380.76 ,$367.60 ,$369.14 ,"$13,741,586,582 ","$41,745,418,861 "
18-Oct-20,$378.47 ,$383.32 ,$373.70 ,$379.94 ,"$12,811,242,092 ","$42,961,460,206 "
17-Oct-20,$368.73 ,$378.60 ,$368.13 ,$378.21 ,"$11,047,103,109 ","$42,761,561,164 "
16-Oct-20,$366.02 ,$369.77 ,$364.49 ,$368.86 ,"$10,951,115,359 ","$41,698,592,886 "
15-Oct-20,$377.87 ,$380.02 ,$362.60 ,$366.23 ,"$14,670,784,817 ","$41,396,681,083 "
14-Oct-20,$379.19 ,$381.21 ,$371.35 ,$377.44 ,"$14,964,182,545 ","$42,659,015,495 "
13-Oct-20,$381.97 ,$387.30 ,$374.18 ,$379.48 ,"$13,918,846,567 ","$42,884,585,295 "
12-Oct-20,$387.14 ,$387.38 ,$375.58 ,$381.19 ,"$14,226,744,838 ","$43,072,303,018 "
11-Oct-20,$374.80 ,$395.12 ,$366.64 ,$387.73 ,"$15,867,455,424 ","$43,805,601,681 "
10-Oct-20,$370.93 ,$377.25 ,$369.83 ,$375.14 ,"$12,584,512,533 ","$42,376,475,415 "
9-Oct-20,$365.40 ,$378.27 ,$365.35 ,$370.97 ,"$13,618,484,324 ","$41,899,893,524 "
8-Oct-20,$351.11 ,$368.31 ,$348.21 ,$365.59 ,"$13,043,501,763 ","$41,287,658,660 "
